Image,T1,T2,T3,T4,T5,T6 (Total Avg Time)
00001,0.0019936561584472656,0.00499415397644043,0.48397064208984375,0.0,0.15100526809692383,0.6419637203216553
00002,0.0039937496185302734,0.0049932003021240234,0.46349525451660156,0.0,0.1360013484954834,0.6084835529327393
00003,0.0009791851043701172,0.0039904117584228516,0.4529561996459961,0.0,0.1250152587890625,0.5829410552978516
00004,0.0019991397857666016,0.005006551742553711,0.48768067359924316,0.0,0.12401866912841797,0.6187050342559814
00005,0.000982522964477539,0.0029883384704589844,0.4619944095611572,0.001028299331665039,0.13802218437194824,0.605015754699707
00006,0.005002737045288086,0.006021976470947266,0.46700167655944824,0.0010044574737548828,0.1398472785949707,0.6188781261444092
00007,0.0009224414825439453,0.003981351852416992,0.48325014114379883,0.0,0.13397836685180664,0.6221323013305664
00008,0.003998994827270508,0.0059986114501953125,0.47228217124938965,0.0,0.12801098823547363,0.6102907657623291
00009,0.0029757022857666016,0.0060062408447265625,0.4615771770477295,0.0,0.11607193946838379,0.5866310596466064
00010,0.0009915828704833984,0.002986907958984375,0.46349358558654785,0.0010001659393310547,0.14199280738830566,0.6104650497436523
00011,0.0010027885437011719,0.0029931068420410156,0.48954105377197266,0.0,0.13301634788513184,0.6265532970428467
00012,0.003987550735473633,0.005002260208129883,0.48006200790405273,0.0,0.1412830352783203,0.6303348541259766
00013,0.0019974708557128906,0.0019943714141845703,0.4839973449707031,0.0010027885437011719,0.15000605583190918,0.6389980316162109
00014,0.003998756408691406,0.005003929138183594,0.48471713066101074,0.0,0.13103270530700684,0.6247525215148926
00015,0.0019795894622802734,0.004023313522338867,0.5447366237640381,0.0,0.11100077629089355,0.6617403030395508
00016,0.002009868621826172,0.002991914749145508,0.489274263381958,0.0,0.13901019096374512,0.6332862377166748
00017,0.0009844303131103516,0.0030105113983154297,0.49999070167541504,0.0,0.12502145767211914,0.62900710105896
00018,0.001009225845336914,0.0039997100830078125,0.4589874744415283,0.0,0.1300523281097412,0.5940487384796143
00019,0.003996849060058594,0.003009796142578125,0.4642972946166992,0.0,0.13101768493652344,0.6023216247558594
00020,0.0009806156158447266,0.003993034362792969,0.527747392654419,0.0,0.141249418258667,0.6739704608917236
00021,0.00098419189453125,0.002995729446411133,0.45399975776672363,0.0,0.12906217575073242,0.5870418548583984
00022,0.005001544952392578,0.005995035171508789,0.4589974880218506,0.0010139942169189453,0.12600278854370117,0.5970108509063721
00023,0.0009801387786865234,0.003004789352416992,0.4660177230834961,0.0,0.15140628814697266,0.6214089393615723
00024,0.004976987838745117,0.005994081497192383,0.48299431800842285,0.0,0.11631155014038086,0.6102769374847412
00025,0.0010035037994384766,0.0030183792114257812,0.4929981231689453,0.0,0.12498617172241211,0.6220061779022217
00026,0.004008054733276367,0.005991697311401367,0.47577357292175293,0.0009961128234863281,0.14900851249694824,0.6357779502868652
00027,0.002972841262817383,0.0060007572174072266,0.4772331714630127,0.0,0.1470170021057129,0.6332237720489502
00028,0.000997781753540039,0.003000020980834961,0.4600346088409424,0.0,0.12702226638793945,0.5910546779632568
00029,0.003983497619628906,0.005997896194458008,0.4560270309448242,0.0,0.13901638984680176,0.6050248146057129
00030,0.0009992122650146484,0.0029921531677246094,0.5788631439208984,0.0,0.14001250267028809,0.7228670120239258
00031,0.001997709274291992,0.002994537353515625,0.5471336841583252,0.0,0.15500903129577637,0.7071349620819092
00032,0.0029969215393066406,0.004995584487915039,0.5174684524536133,0.0,0.13100814819335938,0.6564691066741943
00033,0.003984689712524414,0.0060272216796875,0.48096370697021484,0.0,0.156998872756958,0.6479744911193848
00034,0.0030045509338378906,0.005998134613037109,0.4793076515197754,0.0,0.1350083351135254,0.6233186721801758
00035,0.0010001659393310547,0.002991199493408203,0.49651122093200684,0.0,0.1370232105255127,0.6375257968902588
00036,0.002997159957885742,0.0040247440338134766,0.4958913326263428,0.0,0.11801481246948242,0.6209280490875244
00037,0.0009951591491699219,0.0039920806884765625,0.4935286045074463,0.0009999275207519531,0.14301013946533203,0.6425259113311768
00038,0.004980564117431641,0.005010366439819336,0.49202799797058105,0.0,0.1370091438293457,0.6390280723571777
00039,0.00499272346496582,0.005032777786254883,0.48223090171813965,0.0,0.1360006332397461,0.6282570362091064
00040,0.0009431838989257812,0.0029997825622558594,0.4810006618499756,0.0,0.1292433738708496,0.6141870021820068
00041,0.0020055770874023438,0.0029997825622558594,0.47938108444213867,0.0009932518005371094,0.14397287368774414,0.6293525695800781
00042,0.0017986297607421875,0.003997325897216797,0.4960179328918457,0.0,0.14301562309265137,0.644829511642456
00043,0.003988504409790039,0.0030155181884765625,0.4720299243927002,0.0,0.11801934242248535,0.5970532894134521
00044,0.0020012855529785156,0.0030028820037841797,0.48522043228149414,0.0,0.11200881004333496,0.6022334098815918
00045,0.001988649368286133,0.006025075912475586,0.49298882484436035,0.0,0.13804936408996582,0.6390519142150879
00046,0.001003265380859375,0.003016948699951172,0.4869863986968994,0.0,0.1329941749572754,0.6240007877349854
