Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_YCrCb_HYBRID_Fusion_00049.png,18.919,0.793,6.96,0.768,0.662,11.963,0.88,10.008,184.038
Pytorch_YCrCb_HYBRID_Fusion_00050.png,20.845,0.862,6.954,0.974,0.747,11.806,0.9,9.298,137.274
Pytorch_YCrCb_HYBRID_Fusion_00051.png,20.214,0.831,6.744,0.861,0.627,11.796,0.912,9.91,94.281
Pytorch_YCrCb_HYBRID_Fusion_00052.png,19.571,0.826,6.877,0.913,0.661,11.898,0.884,10.078,90.539
Pytorch_YCrCb_HYBRID_Fusion_00053.png,20.343,0.813,7.114,0.739,0.777,12.359,0.872,9.39,116.599
Pytorch_YCrCb_HYBRID_Fusion_00054.png,20.054,0.842,6.776,0.781,0.674,12.016,0.905,9.616,146.47
Pytorch_YCrCb_HYBRID_Fusion_00055.png,19.563,0.829,7.02,0.803,0.701,12.029,0.89,9.526,136.847
Pytorch_YCrCb_HYBRID_Fusion_00056.png,20.418,0.782,7.107,0.683,0.835,12.171,0.822,9.835,74.251
Pytorch_YCrCb_HYBRID_Fusion_00057.png,20.556,0.813,7.103,0.736,0.801,12.193,0.846,9.258,108.15
Pytorch_YCrCb_HYBRID_Fusion_00058.png,19.614,0.806,7.107,0.78,0.753,12.312,0.836,9.905,87.537
Pytorch_YCrCb_HYBRID_Fusion_00059.png,21.129,0.83,6.917,0.737,0.765,12.031,0.876,9.182,138.777
Pytorch_YCrCb_HYBRID_Fusion_00060.png,21.067,0.81,6.914,0.713,0.765,12.136,0.881,9.342,138.816
Pytorch_YCrCb_HYBRID_Fusion_00061.png,21.205,0.831,6.76,0.736,0.691,11.718,0.885,8.842,148.402
Pytorch_YCrCb_HYBRID_Fusion_00062.png,20.504,0.852,6.41,0.777,0.682,11.068,0.904,9.442,191.554
Pytorch_YCrCb_HYBRID_Fusion_00063.png,19.72,0.843,6.505,0.804,0.583,11.203,0.875,9.592,184.929
Pytorch_YCrCb_HYBRID_Fusion_00064.png,19.582,0.841,6.67,0.796,0.669,11.325,0.912,9.723,191.848
Pytorch_YCrCb_HYBRID_Fusion_00065.png,21.565,0.855,6.84,0.806,0.717,11.743,0.899,9.31,149.777
Pytorch_YCrCb_HYBRID_Fusion_00066.png,18.858,0.852,6.526,0.87,0.391,11.664,0.867,10.264,166.712
Pytorch_YCrCb_HYBRID_Fusion_00067.png,20.666,0.871,6.601,0.872,0.546,11.952,0.907,9.984,159.62
Pytorch_YCrCb_HYBRID_Fusion_00068.png,21.814,0.862,6.63,0.793,0.776,11.857,0.902,9.823,170.588
Pytorch_YCrCb_HYBRID_Fusion_00069.png,20.222,0.843,6.62,0.772,0.558,11.283,0.898,10.363,151.011
Pytorch_YCrCb_HYBRID_Fusion_00070.png,21.45,0.838,6.694,0.8,0.691,11.69,0.882,9.555,119.243
Pytorch_YCrCb_HYBRID_Fusion_00071.png,21.093,0.844,6.678,0.808,0.719,11.78,0.893,9.717,99.11
Pytorch_YCrCb_HYBRID_Fusion_00072.png,20.641,0.83,6.875,0.794,0.71,12.298,0.912,9.345,130.964
Pytorch_YCrCb_HYBRID_Fusion_00073.png,20.515,0.836,6.783,0.793,0.745,11.87,0.893,10.085,177.019
Pytorch_YCrCb_HYBRID_Fusion_00074.png,22.378,0.856,6.785,0.792,0.816,11.884,0.894,9.799,176.976
Pytorch_YCrCb_HYBRID_Fusion_00075.png,15.442,0.799,5.984,0.697,0.273,11.712,0.801,10.082,74.83
Pytorch_YCrCb_HYBRID_Fusion_00076.png,16.154,0.861,5.603,0.841,-0.507,10.398,0.654,10.363,46.954
Pytorch_YCrCb_HYBRID_Fusion_00077.png,15.933,0.578,7.314,0.621,0.76,13.415,0.625,10.263,71.046
Pytorch_YCrCb_HYBRID_Fusion_00078.png,15.798,0.579,7.325,0.621,0.721,13.567,0.622,10.259,75.673
Pytorch_YCrCb_HYBRID_Fusion_00079.png,15.682,0.575,7.318,0.62,0.713,13.576,0.641,10.276,75.066
Pytorch_YCrCb_HYBRID_Fusion_00080.png,14.536,0.597,7.057,0.643,0.464,13.027,0.668,10.065,95.157
Pytorch_YCrCb_HYBRID_Fusion_00081.png,14.938,0.621,7.086,0.587,0.629,12.912,0.773,10.175,91.281
Pytorch_YCrCb_HYBRID_Fusion_00082.png,15.08,0.605,7.092,0.59,0.611,13.16,0.786,10.091,85.99
Pytorch_YCrCb_HYBRID_Fusion_00083.png,14.685,0.613,7.007,0.59,0.572,12.987,0.772,10.165,88.378
Pytorch_YCrCb_HYBRID_Fusion_00084.png,15.288,0.639,6.812,1.26,0.426,12.597,0.457,10.353,68.525
Pytorch_YCrCb_HYBRID_Fusion_00085.png,15.366,0.64,6.908,1.089,0.55,12.514,0.477,10.515,67.286
Pytorch_YCrCb_HYBRID_Fusion_00086.png,14.838,0.667,6.407,0.63,0.084,11.975,0.736,10.189,83.863
