Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_LAB_HYBRID_Fusion_00051.png,20.209,0.831,6.746,0.868,0.625,11.785,0.916,10.048,94.908
Pytorch_LAB_HYBRID_Fusion_00052.png,19.561,0.826,6.877,0.927,0.659,11.882,0.885,10.129,91.644
Pytorch_LAB_HYBRID_Fusion_00053.png,20.354,0.813,7.095,0.739,0.778,12.341,0.873,9.349,117.46
Pytorch_LAB_HYBRID_Fusion_00054.png,20.054,0.842,6.765,0.777,0.684,11.997,0.91,9.606,147.311
Pytorch_LAB_HYBRID_Fusion_00055.png,19.575,0.829,6.992,0.801,0.708,12.004,0.895,9.576,138.269
Pytorch_LAB_HYBRID_Fusion_00056.png,20.41,0.782,7.104,0.687,0.831,12.153,0.825,9.845,74.912
Pytorch_LAB_HYBRID_Fusion_00057.png,20.561,0.812,7.088,0.737,0.8,12.168,0.851,9.35,109.773
Pytorch_LAB_HYBRID_Fusion_00058.png,19.625,0.806,7.104,0.784,0.751,12.295,0.84,9.893,88.518
Pytorch_LAB_HYBRID_Fusion_00059.png,21.132,0.83,6.904,0.732,0.768,12.009,0.879,9.216,139.591
Pytorch_LAB_HYBRID_Fusion_00060.png,21.065,0.81,6.906,0.709,0.769,12.124,0.886,9.373,138.923
Pytorch_LAB_HYBRID_Fusion_00061.png,21.196,0.831,6.747,0.729,0.698,11.698,0.892,8.919,149.351
Pytorch_LAB_HYBRID_Fusion_00062.png,20.48,0.851,6.376,0.768,0.7,11.042,0.911,9.463,194.332
Pytorch_LAB_HYBRID_Fusion_00063.png,19.692,0.842,6.467,0.794,0.602,11.173,0.881,9.652,186.176
Pytorch_LAB_HYBRID_Fusion_00064.png,19.547,0.84,6.617,0.787,0.686,11.29,0.919,9.679,193.775
Pytorch_LAB_HYBRID_Fusion_00065.png,21.565,0.854,6.805,0.804,0.722,11.706,0.903,9.333,150.116
Pytorch_LAB_HYBRID_Fusion_00066.png,18.846,0.852,6.514,0.866,0.4,11.665,0.871,10.349,167.589
Pytorch_LAB_HYBRID_Fusion_00067.png,20.654,0.871,6.599,0.869,0.547,11.943,0.907,10.008,161.055
Pytorch_LAB_HYBRID_Fusion_00068.png,21.805,0.862,6.617,0.788,0.779,11.852,0.906,9.788,171.538
Pytorch_LAB_HYBRID_Fusion_00069.png,20.212,0.843,6.615,0.766,0.567,11.249,0.904,10.42,151.566
Pytorch_LAB_HYBRID_Fusion_00070.png,21.456,0.838,6.718,0.804,0.693,11.695,0.884,9.586,120.518
Pytorch_LAB_HYBRID_Fusion_00071.png,21.096,0.844,6.704,0.817,0.716,11.766,0.897,9.717,99.53
Pytorch_LAB_HYBRID_Fusion_00072.png,20.645,0.83,6.868,0.797,0.706,12.28,0.918,9.36,132.329
Pytorch_LAB_HYBRID_Fusion_00073.png,20.517,0.836,6.764,0.789,0.751,11.856,0.9,10.11,177.768
Pytorch_LAB_HYBRID_Fusion_00074.png,22.36,0.856,6.776,0.79,0.818,11.881,0.898,9.825,177.644
Pytorch_LAB_HYBRID_Fusion_00075.png,15.424,0.799,6.038,0.711,0.178,11.736,0.794,10.234,77.249
Pytorch_LAB_HYBRID_Fusion_00076.png,16.137,0.86,5.735,0.881,-0.551,10.436,0.642,10.351,48.385
Pytorch_LAB_HYBRID_Fusion_00077.png,15.844,0.579,7.337,0.631,0.747,13.43,0.612,10.31,71.979
Pytorch_LAB_HYBRID_Fusion_00078.png,15.727,0.58,7.349,0.629,0.708,13.582,0.615,10.293,76.559
Pytorch_LAB_HYBRID_Fusion_00079.png,15.617,0.576,7.342,0.629,0.701,13.592,0.631,10.304,75.93
Pytorch_LAB_HYBRID_Fusion_00080.png,14.471,0.597,7.085,0.649,0.419,13.038,0.662,10.364,97.061
Pytorch_LAB_HYBRID_Fusion_00081.png,14.875,0.621,7.092,0.595,0.587,12.926,0.765,10.123,92.591
Pytorch_LAB_HYBRID_Fusion_00082.png,15.021,0.605,7.095,0.598,0.574,13.164,0.785,10.053,86.895
Pytorch_LAB_HYBRID_Fusion_00083.png,14.631,0.613,7.007,0.596,0.527,12.997,0.77,10.104,89.612
Pytorch_LAB_HYBRID_Fusion_00084.png,15.227,0.634,6.877,1.337,0.407,12.64,0.42,10.362,70.211
Pytorch_LAB_HYBRID_Fusion_00085.png,15.298,0.636,6.967,1.153,0.534,12.55,0.435,10.453,69.2
Pytorch_LAB_HYBRID_Fusion_00086.png,14.812,0.667,6.447,0.636,0.008,11.996,0.73,10.136,85.863
Pytorch_LAB_HYBRID_Fusion_00087.png,14.801,0.666,6.463,0.638,0.035,12.004,0.763,10.134,85.724
Pytorch_LAB_HYBRID_Fusion_00088.png,14.836,0.666,6.495,0.636,0.085,11.998,0.731,10.169,83.568
Pytorch_LAB_HYBRID_Fusion_00089.png,18.68,0.826,6.451,0.775,0.134,11.523,0.843,9.704,122.251
Pytorch_LAB_HYBRID_Fusion_00090.png,18.508,0.82,6.301,0.728,0.167,11.86,0.881,9.652,149.742
Pytorch_LAB_HYBRID_Fusion_00091.png,18.624,0.822,6.322,0.724,0.19,11.951,0.879,9.456,150.885
Pytorch_LAB_HYBRID_Fusion_00092.png,18.245,0.829,6.314,0.724,0.222,11.901,0.862,9.403,144.087
Pytorch_LAB_HYBRID_Fusion_00093.png,17.015,0.827,6.129,0.747,-0.096,11.222,0.875,9.856,152.27
Pytorch_LAB_HYBRID_Fusion_00094.png,14.811,0.626,6.674,0.634,0.097,12.475,0.714,10.016,85.557
Pytorch_LAB_HYBRID_Fusion_00095.png,14.897,0.622,6.733,0.632,0.178,12.54,0.709,10.011,84.994
Pytorch_LAB_HYBRID_Fusion_00096.png,14.953,0.626,6.807,0.632,0.263,12.586,0.701,10.122,86.169
Pytorch_LAB_HYBRID_Fusion_00097.png,15.123,0.751,6.422,0.739,0.32,12.004,0.833,10.39,58.464
Pytorch_LAB_HYBRID_Fusion_00098.png,15.087,0.745,6.443,0.729,0.327,12.029,0.837,10.406,58.02
Pytorch_LAB_HYBRID_Fusion_00099.png,15.152,0.76,6.388,0.738,0.322,12.031,0.862,10.468,56.68
Pytorch_LAB_HYBRID_Fusion_00100.png,15.238,0.766,6.33,0.742,0.282,11.968,0.863,10.398,56.673
Pytorch_LAB_HYBRID_Fusion_00101.png,15.33,0.742,6.313,0.72,0.179,12.023,0.839,10.295,61.893
Pytorch_LAB_HYBRID_Fusion_00102.png,15.358,0.811,6.215,0.846,0.244,11.641,0.752,10.414,56.784
Pytorch_LAB_HYBRID_Fusion_00103.png,15.824,0.786,6.28,0.735,0.427,12.062,0.771,10.2,70.91
Pytorch_LAB_HYBRID_Fusion_00104.png,15.869,0.784,6.225,0.729,0.374,12.107,0.783,10.242,69.755
Pytorch_LAB_HYBRID_Fusion_00105.png,17.912,0.789,6.337,0.757,0.095,11.593,0.878,9.133,107.046
Pytorch_LAB_HYBRID_Fusion_00106.png,17.91,0.787,6.367,0.746,0.125,11.653,0.873,9.126,111.225
Pytorch_LAB_HYBRID_Fusion_00107.png,20.83,0.801,6.564,0.767,0.453,11.735,0.845,8.727,121.585
Pytorch_LAB_HYBRID_Fusion_00108.png,16.098,0.797,6.268,0.779,0.014,11.063,0.888,9.447,89.812
Pytorch_LAB_HYBRID_Fusion_00109.png,15.787,0.782,6.28,0.75,0.009,10.984,0.864,9.651,84.952
Pytorch_LAB_HYBRID_Fusion_00110.png,21.733,0.823,6.571,0.777,0.786,11.698,0.883,9.475,121.249
Pytorch_LAB_HYBRID_Fusion_00111.png,21.49,0.787,6.601,0.733,0.647,11.961,0.828,9.137,155.073
Pytorch_LAB_HYBRID_Fusion_00112.png,20.671,0.798,6.349,0.741,0.396,11.579,0.882,8.864,154.427
Pytorch_LAB_HYBRID_Fusion_00113.png,17.535,0.807,6.099,0.72,-0.087,10.936,0.906,10.091,140.131
Pytorch_LAB_HYBRID_Fusion_00114.png,17.001,0.812,6.158,0.747,-0.159,10.904,0.9,10.31,143.11
Pytorch_LAB_HYBRID_Fusion_00115.png,16.332,0.818,6.161,0.76,-0.312,10.698,0.937,10.459,142.138
Pytorch_LAB_HYBRID_Fusion_00116.png,16.41,0.826,6.22,0.763,-0.366,10.72,0.915,10.477,136.641
Pytorch_LAB_HYBRID_Fusion_00117.png,17.294,0.851,6.185,0.8,-0.402,10.563,0.899,10.573,132.812
Pytorch_LAB_HYBRID_Fusion_00118.png,16.589,0.837,6.312,0.794,-0.304,11.425,0.916,10.514,127.032
Pytorch_LAB_HYBRID_Fusion_00119.png,16.497,0.744,6.494,0.682,0.137,12.44,0.839,9.898,106.355
Pytorch_LAB_HYBRID_Fusion_00120.png,15.279,0.753,6.325,0.706,-0.067,11.862,0.858,10.003,82.288
Pytorch_LAB_HYBRID_Fusion_00121.png,15.056,0.765,6.375,0.721,-0.138,11.756,0.83,10.085,81.724
Pytorch_LAB_HYBRID_Fusion_00122.png,16.047,0.75,6.422,0.7,0.086,12.32,0.828,9.908,93.903
Pytorch_LAB_HYBRID_Fusion_00123.png,21.203,0.828,7.038,0.692,0.861,12.022,0.859,9.752,66.029
Pytorch_LAB_HYBRID_Fusion_00124.png,22.658,0.871,6.891,0.752,0.833,12.014,0.927,8.978,113.973
Pytorch_LAB_HYBRID_Fusion_00125.png,22.238,0.887,6.816,0.765,0.786,12.118,0.928,9.275,108.494
Pytorch_LAB_HYBRID_Fusion_00126.png,18.087,0.827,6.352,0.962,0.136,10.885,0.929,9.881,162.556
Pytorch_LAB_HYBRID_Fusion_00127.png,19.594,0.822,6.901,0.768,0.746,12.491,0.898,9.69,88.968
Pytorch_LAB_HYBRID_Fusion_00128.png,21.008,0.858,6.874,0.848,0.774,11.765,0.912,9.802,110.524
Pytorch_LAB_HYBRID_Fusion_00129.png,17.883,0.565,6.649,0.571,0.559,12.894,0.639,9.475,172.569
Pytorch_LAB_HYBRID_Fusion_00130.png,17.901,0.565,6.652,0.571,0.558,12.889,0.642,9.499,171.571
Pytorch_LAB_HYBRID_Fusion_00131.png,17.703,0.562,6.64,0.57,0.525,12.851,0.641,9.503,165.15
Pytorch_LAB_HYBRID_Fusion_00132.png,13.398,0.715,6.282,0.706,-0.27,11.322,0.826,10.309,89.984
Pytorch_LAB_HYBRID_Fusion_00133.png,13.431,0.714,6.328,0.706,-0.306,11.35,0.792,10.358,93.963
Pytorch_LAB_HYBRID_Fusion_00134.png,14.431,0.542,6.88,0.611,0.58,13.991,0.619,10.182,145.564
Pytorch_LAB_HYBRID_Fusion_00135.png,14.443,0.542,6.871,0.611,0.584,13.977,0.614,10.162,144.703
Pytorch_LAB_HYBRID_Fusion_00136.png,14.463,0.542,6.869,0.612,0.588,13.971,0.601,10.171,145.242
Pytorch_LAB_HYBRID_Fusion_00137.png,14.465,0.542,6.869,0.612,0.587,13.965,0.606,10.174,145.184
Pytorch_LAB_HYBRID_Fusion_00138.png,14.381,0.539,6.879,0.613,0.571,13.997,0.616,10.181,144.943
Pytorch_LAB_HYBRID_Fusion_00139.png,15.658,0.595,6.899,0.631,0.656,13.719,0.659,9.81,136.792
Pytorch_LAB_HYBRID_Fusion_00140.png,15.905,0.633,6.744,0.665,0.546,13.483,0.646,9.938,124.086
Pytorch_LAB_HYBRID_Fusion_00141.png,16.237,0.68,6.367,0.746,0.158,12.893,0.62,10.128,99.192
Pytorch_LAB_HYBRID_Fusion_00142.png,16.253,0.682,6.3,0.761,0.049,12.726,0.603,10.133,95.989
Pytorch_LAB_HYBRID_Fusion_00143.png,16.474,0.78,7.006,0.784,0.607,12.194,0.848,8.997,178.659
Pytorch_LAB_HYBRID_Fusion_00144.png,16.461,0.781,6.992,0.788,0.598,12.166,0.865,8.947,178.998
Pytorch_LAB_HYBRID_Fusion_00145.png,16.438,0.78,6.983,0.778,0.592,12.155,0.843,8.991,179.976
Pytorch_LAB_HYBRID_Fusion_00146.png,16.454,0.78,6.999,0.773,0.604,12.174,0.828,9.028,182.196
Pytorch_LAB_HYBRID_Fusion_00147.png,16.393,0.779,7,0.776,0.599,12.175,0.848,9.018,181.313
Pytorch_LAB_HYBRID_Fusion_00148.png,16.457,0.772,7.026,0.775,0.598,12.209,0.836,9.122,176.295
Pytorch_LAB_HYBRID_Fusion_00149.png,15.748,0.549,6.924,0.591,0.447,13.586,0.628,9.819,119.231
Pytorch_LAB_HYBRID_Fusion_00150.png,16.118,0.556,6.967,0.593,0.472,13.497,0.612,9.831,121.629
Pytorch_LAB_HYBRID_Fusion_00151.png,16.122,0.56,6.957,0.595,0.48,13.485,0.622,9.829,119.741
Pytorch_LAB_HYBRID_Fusion_00152.png,16.134,0.558,6.968,0.59,0.479,13.494,0.613,9.825,119.079
Pytorch_LAB_HYBRID_Fusion_00153.png,13.386,0.7,5.918,0.702,0.179,11.901,0.789,9.914,120.167
Pytorch_LAB_HYBRID_Fusion_00154.png,13.377,0.7,5.91,0.703,0.175,11.898,0.804,9.931,120.23
Pytorch_LAB_HYBRID_Fusion_00155.png,13.38,0.701,5.909,0.705,0.174,11.905,0.802,9.946,121.337
Pytorch_LAB_HYBRID_Fusion_00156.png,13.423,0.703,5.893,0.709,0.193,11.911,0.8,9.975,120.972
Pytorch_LAB_HYBRID_Fusion_00157.png,14.123,0.688,6.275,0.628,0.123,11.977,0.805,10.391,84.06
Pytorch_LAB_HYBRID_Fusion_00158.png,14.385,0.681,6.35,0.627,0.124,12.063,0.791,10.327,86.471
Pytorch_LAB_HYBRID_Fusion_00159.png,14.683,0.688,6.408,0.623,0.202,12.197,0.82,10.244,83.506
Pytorch_LAB_HYBRID_Fusion_00160.png,14.501,0.676,6.386,0.625,0.155,12.181,0.777,10.242,82.717
Pytorch_LAB_HYBRID_Fusion_00161.png,14.745,0.689,6.329,0.618,0.228,12,0.777,10.219,81.922
Pytorch_LAB_HYBRID_Fusion_00162.png,14.662,0.685,6.332,0.617,0.21,11.982,0.769,10.208,83.625
Pytorch_LAB_HYBRID_Fusion_00163.png,15.282,0.663,6.503,0.609,0.305,12.753,0.737,10.185,85.314
Pytorch_LAB_HYBRID_Fusion_00164.png,15.375,0.672,6.475,0.607,0.305,12.497,0.73,10.246,73.662
Pytorch_LAB_HYBRID_Fusion_00165.png,15.856,0.674,6.501,0.605,0.366,12.608,0.738,10.127,76.088
Pytorch_LAB_HYBRID_Fusion_00166.png,13.454,0.678,6.622,0.763,-0.094,11.982,0.788,10.071,108.61
Pytorch_LAB_HYBRID_Fusion_00167.png,13.478,0.679,6.63,0.762,-0.091,11.968,0.786,10.094,109.051
Pytorch_LAB_HYBRID_Fusion_00168.png,13.477,0.678,6.631,0.765,-0.094,11.934,0.791,10.114,109.015
Pytorch_LAB_HYBRID_Fusion_00169.png,13.467,0.677,6.639,0.764,-0.095,11.924,0.788,10.117,109.285
Pytorch_LAB_HYBRID_Fusion_00170.png,13.395,0.702,6.328,0.747,-0.039,11.727,0.818,9.801,112.613
Pytorch_LAB_HYBRID_Fusion_00171.png,13.316,0.698,6.352,0.749,-0.035,11.688,0.82,9.893,113.475
Pytorch_LAB_HYBRID_Fusion_00172.png,13.292,0.697,6.357,0.75,-0.035,11.685,0.814,9.894,113.258
Pytorch_LAB_HYBRID_Fusion_00173.png,13.291,0.697,6.357,0.751,-0.033,11.689,0.809,9.901,113.238
Pytorch_LAB_HYBRID_Fusion_00174.png,13.271,0.696,6.361,0.753,-0.04,11.686,0.809,9.904,113.247
Pytorch_LAB_HYBRID_Fusion_00175.png,16.56,0.75,5.827,0.712,0.482,10.646,0.741,8.262,111.029
Pytorch_LAB_HYBRID_Fusion_00176.png,16.471,0.744,5.832,0.711,0.464,10.663,0.777,8.248,105.425
Pytorch_LAB_HYBRID_Fusion_00177.png,16.497,0.748,5.812,0.704,0.513,10.617,0.729,8.254,109.477
Pytorch_LAB_HYBRID_Fusion_00178.png,16.845,0.729,5.84,0.698,0.437,10.816,0.741,8.117,103.955
Pytorch_LAB_HYBRID_Fusion_00179.png,17.368,0.741,5.859,0.695,0.479,10.792,0.745,8.293,123.277
Pytorch_LAB_HYBRID_Fusion_00180.png,13.332,0.719,6.189,0.889,-0.573,10.708,0.796,10.299,80.143
Pytorch_LAB_HYBRID_Fusion_00181.png,13.396,0.709,6.155,0.894,-0.573,10.684,0.816,10.209,79.547
Pytorch_LAB_HYBRID_Fusion_00182.png,13.458,0.71,6.178,0.895,-0.564,10.79,0.824,10.217,80.6
Pytorch_LAB_HYBRID_Fusion_00183.png,13.812,0.751,6.245,0.712,-0.411,10.773,0.863,10.412,73.318
Pytorch_LAB_HYBRID_Fusion_00184.png,13.825,0.749,6.272,0.714,-0.431,10.837,0.862,10.425,74.281
Pytorch_LAB_HYBRID_Fusion_00185.png,13.831,0.748,6.266,0.715,-0.434,10.852,0.867,10.441,74.563
Pytorch_LAB_HYBRID_Fusion_00186.png,18.258,0.778,6.328,0.68,0.383,10.954,0.722,10.081,79.098
Pytorch_LAB_HYBRID_Fusion_00187.png,18.707,0.786,6.28,0.68,0.49,10.868,0.724,10.057,74.828
Pytorch_LAB_HYBRID_Fusion_00188.png,18.835,0.788,6.26,0.681,0.521,10.842,0.721,10.057,72.74
Pytorch_LAB_HYBRID_Fusion_00189.png,18.895,0.788,6.271,0.682,0.528,10.831,0.738,10.069,71.78
Pytorch_LAB_HYBRID_Fusion_00190.png,15.35,0.631,6.359,0.604,-0.037,12.301,0.762,9.881,85.12
Pytorch_LAB_HYBRID_Fusion_00191.png,15.233,0.627,6.332,0.604,-0.056,12.268,0.752,9.912,84.07
